k,x1,x2,f(x),||grad f||
37,0.9641586620886373,0.9279131823471357,0.0015697869078919791,0.7944554665995844
38,0.963026623164106,0.9285728477117511,0.001499872536989266,0.6708314816522765
39,0.964038203819545,0.928122624747341,0.0014487600835006215,0.5669105151264793
40,0.9632394701285489,0.9286097472771353,0.001412093976793511,0.4790043543187907
41,0.9639696415080048,0.9283052666272886,0.0013850869990878248,0.405049509992478
42,0.9634083417293661,0.928669408471735,0.001365345987395498,0.3425646279973784
43,0.9639379776275807,0.9284687148943881,0.001350554776289497,0.2899891780539312
44,0.9635458852375829,0.9287451640421859,0.0013394319294650976,0.245632272735107
45,0.9639325513489176,0.9286184097125341,0.001330842372694529,0.20833892260726744
46,0.9636610921892875,0.9288322979303074,0.0013241109356622654,0.17694637410870326
47,0.9639457813377119,0.9287582364729414,0.0013186757566845868,0.15061244821184216
48,0.9637603579632419,0.928927468068969,0.0013141847674234023,0.12853256086053802
49,0.9639722739381611,0.9288909678785264,0.0013103576869021537,0.11009862608953376
50,0.9638482333980991,0.9290283026609416,0.0013070121579277477,0.09475029730699813
51,0.9640081902805985,0.9290185817092599,0.001304007531477399,0.08204902025630527
52,0.96392795821825,0.9291331165603594,0.0013012497602679382,0.07159842845697346
53,0.964050796950731,0.9291424884644394,0.0012986679421573227,0.06307621146049706
54,0.9640018397853786,0.9292407113694785,0.0012962137032690557,0.05619078847988699
55,0.9640981468473754,0.9292636940804614,0.001293851175436564,0.050693831278852915
56,0.9640448974477395,0.9294367742945879,0.00129306327194886,0.046358100600743316
57,0.964226175874484,0.9294155985135077,0.0012897849663861636,0.09344565526488864
58,0.9641274825258016,0.929539239032267,0.0012868381671049024,0.08099858601759229
59,0.964265678633885,0.9295402404108892,0.001284127263748187,0.0707582648654873
60,0.9642033285697515,0.9296449507938492,0.001281587515720034,0.06239638527419315
61,0.9643106867338445,0.9296617898685129,0.0012791704687773293,0.05563941911739919
62,0.96427432937737,0.9297529268531167,0.0012768427401241046,0.0502381520895128
63,0.9644448717821802,0.9298092201680074,0.0012760482993489843,0.0459758104879709
64,0.9643240441403504,0.9299438649097803,0.0012728267393923155,0.09262605785191948
65,0.9644807331519977,0.9299348794400226,0.0012699245400777327,0.08035657729482071
66,0.9644023175188668,0.930047459589004,0.0012672543898950886,0.07024539514423978
67,0.9645230093134559,0.9300569792947686,0.0012647502275286522,0.06198612551209603
68,0.9644749740398844,0.9301537199980172,0.0012623668403916664,0.055301098839593874
69,0.9645698483434403,0.9301764760727119,0.001260070582020409,0.04995339331453435
70,0.9645173117215011,0.9303471919012865,0.0012593078987044848,0.04572592196060248
71,0.9646962654171101,0.9303262749908118,0.0012561261466302997,0.09224805367300914
72,0.9645985665401495,0.930448388084135,0.0012532618936112994,0.08006979098995541
73,0.9647353413156536,0.9304491718681882,0.001250624319774385,0.07002983486055131
74,0.9646732829430443,0.9305527292569548,0.001248151775462035,0.06181299977534804
75,0.9647797650947512,0.9305690626816251,0.0012457979266423504,0.05515651597180586
76,0.9647432824503515,0.9306592706717259,0.0012435307683484947,0.04982069090131768
77,0.964912708769228,0.9307142162665327,0.0012428362547108442,0.04559696763161509
78,0.9647917152024412,0.9308479347344375,0.0012396852248576877,0.09233061094969411
79,0.9649480014660581,0.9308382155894496,0.0012368468124991524,0.08017314792931048
80,0.9648689936463338,0.9309501022862816,0.001234236327449362,0.07012880373657596
81,0.9649895857175033,0.9309587244010501,0.0012317893775303315,0.06190075445784282
82,0.9649407534190255,0.9310548869565924,0.0012294618073911904,0.055219693632869236
83,0.9650356603390811,0.9310766723676409,0.0012272206060325167,0.04985609723124213
84,0.9649813805947725,0.9312463234289263,0.0012266315590235785,0.04559946651980352
85,0.9651613388108177,0.9312239568139524,0.0012234950087455013,0.09284753318823617
86,0.965061827586781,0.9313460088143968,0.0012206761730600712,0.0806284987199091
87,0.9651995697694623,0.9313453534435925,0.001218084816399801,0.07052479579349226
88,0.9651357910317404,0.9314488128340467,0.001215659620404365,0.06222764012421247
89,0.9652431140242457,0.9314637668560845,0.0012133542544600056,0.055480220527983924
90,0.9652050621941087,0.9315538068229354,0.0012111366674320615,0.050048196176249955
91,0.9653758448046751,0.9316061546840275,0.0012106909893863016,0.04572807739668736
92,0.9652513738248226,0.9317406730622746,0.001207559792423908,0.09383469538703283
93,0.9654100793991824,0.9317287752530687,0.0012047481479198696,0.08148527403176203
94,0.9653280950445701,0.9318412151563762,0.0012021702887306583,0.07124745608983572
95,0.9654506239824876,0.9318479010649708,0.0011997605935936788,0.06282814148367591
96,0.9653992759433008,0.9319443878943473,0.0011974740350372604,0.055961223778197344
97,0.9654956877431076,0.931964455901184,0.0011952767604258758,0.05042084922755387
98,0.9654664361543256,0.9320494040063998,0.001193145169086968,0.045999819382274355
99,0.9656215271795748,0.9321088066111926,0.0011918730304190648,0.04251596297877323
100,0.9655173343600588,0.9322322937758104,0.0011890615755419096,0.0827244081258053
101,0.9656584973360958,0.932228945796882,0.0011864884223845677,0.07229576840225845
102,0.9655909210294848,0.9323333941095868,0.0011840899033749314,0.0636941319311554
103,0.9657008653326108,0.9323460631193454,0.0011818175956708101,0.056663976133186876
104,0.9656597389696623,0.932436726472786,0.001179637989561937,0.0509722200726346
105,0.9657471027029954,0.9324609471736337,0.0011775259914671532,0.046417436154246414
106,0.9657030701436642,0.9326222903030057,0.0011764383641892418,0.042814399818403806
107,0.9658671231339736,0.9326067158428076,0.0011736138057870445,0.08437279588642967
